1456460731	00 00 18 54 17 37 66 f9 c3	00 00 18 54 17 38 89 01 c3	74248
1456460733	00 00 18 56 17 40 1d 99 c3	00 00 18 56 17 41 11 59 c3	62400
1456460735	00 00 18 58 17 46 84 d1 c3	00 00 18 58 17 47 5c 39 c3	55144
1456460737	00 00 18 5a 17 4c 2b 18 c3	00 00 18 5a 17 4d 2f 60 c3	66632
1456460739	00 00 18 5c 17 50 9b b0 c3	00 00 18 5c 17 51 b1 c0 c3	71184
1456460741	00 00 18 5e 17 54 cd c0 c3	00 00 18 5e 17 55 8e d8 c3	49432
1456460743	00 00 18 60 17 58 e4 46 c3	00 00 18 60 17 59 ea 46 c3	67072
1456460745	00 00 18 62 17 5d 01 e6 c3	00 00 18 62 17 5d a8 de c3	42744
1456460747	00 00 18 64 17 61 93 f6 c3	00 00 18 64 17 62 bd 7e c3	76168
1456460749	00 00 18 66 17 66 80 80 c3	00 00 18 66 17 67 62 10 c3	57744
1456460751	00 00 18 68 17 6a c9 20 c3	00 00 18 68 17 6b e6 70 c3	73040
1456460753	00 00 18 6a 17 6e dd 20 c3	00 00 18 6a 17 6f f2 78 c3	71000
1456460755	00 00 18 6c 17 73 db 62 c3	00 00 18 6c 17 74 d3 ba c3	63576
1456460757	00 00 18 6e 17 79 21 7a c3	00 00 18 6e 17 79 e2 d2 c3	49496
1456460759	00 00 18 70 17 7e c4 a7 c3	00 00 18 70 17 7f 74 07 c3	44896
1456460761	00 00 18 72 17 82 e5 d9 c3	00 00 18 72 17 83 c8 d9 c3	58112
1456460763	00 00 18 74 17 89 35 82 c3	00 00 18 74 17 8a 25 fa c3	61560
1456460765	00 00 18 76 17 8f 2e 8a c3	00 00 18 76 17 90 00 12 c3	53640
1456460767	00 00 18 78 17 94 ce 7a c3	00 00 18 78 17 95 9d da c3	53088
1456460769	00 00 18 7a 17 9a 6f ea c3	00 00 18 7a 17 9b 73 6a c3	66432
1456460771	00 00 18 7c 17 9e a2 0a c3	00 00 18 7c 17 9f 9a 62 c3	63576
1456460773	00 00 18 7e 17 a3 36 6b c3	00 00 18 7e 17 a4 1b 3b c3	58576
1456460775	00 00 18 80 17 a9 84 0b c3	00 00 18 80 17 aa 7f 13 c3	64264
1456460777	00 00 18 82 17 af df 03 c3	00 00 18 82 17 b0 9a 43 c3	47936
1456460779	00 00 18 84 17 b5 80 33 c3	00 00 18 84 17 b6 4c ab c3	52344
1456460781	00 00 18 86 17 b9 82 9b c3	00 00 18 86 17 ba 79 db c3	63296
1456460783	00 00 18 88 17 bf 8f b3 c3	00 00 18 88 17 c0 68 24 c3	55409
1456460785	00 00 18 8a 17 c6 0d 2c c3	00 00 18 8a 17 c6 f2 64 c3	58680
1456460787	00 00 18 8c 17 cb 27 24 c3	00 00 18 8c 17 cb db cc c3	46248
1456460789	00 00 18 8e 17 cf a2 dc c3	00 00 18 8e 17 d0 50 1c c3	44352
1456460791	00 00 18 90 17 d4 61 f4 c3	00 00 18 90 17 d5 35 2c c3	54072
1456460793	00 00 18 92 17 d8 8e 7c c3	00 00 18 92 17 d9 54 fc c3	50816
1456460795	00 00 18 94 17 dd 49 34 c3	00 00 18 94 17 de 4d 44 c3	66576
1456460797	00 00 18 96 17 e3 09 a4 c3	00 00 18 96 17 e4 0a 24 c3	65664
1456460799	00 00 18 98 17 e8 b7 9c c3	00 00 18 98 17 e9 70 14 c3	47224
1456460801	00 00 18 9a 17 ef 32 c1 c3	00 00 18 9a 17 f0 48 99 c3	71128
1456460803	00 00 18 9c 17 f3 72 31 c3	00 00 18 9c 17 f4 c3 c1 c3	86416
1456460805	00 00 18 9e 17 f9 0c e9 c3	00 00 18 9e 17 fa 29 19 c3	72752
1456460807	00 00 18 a0 17 fd 3e 66 c3	00 00 18 a0 17 fe 09 be c3	52056
