468	2016-02-17 14:39:31.399250075	2016-02-17 14:39:31.400065556	2016-02-17 14:39:31.401871317	815481	2621242
469	2016-02-17 14:39:33.399855173	2016-02-17 14:39:33.400571597	2016-02-17 14:39:33.402294840	716424	2439667
470	2016-02-17 14:39:35.400521949	2016-02-17 14:39:35.401257565	2016-02-17 14:39:35.402459369	735616	1937420
471	2016-02-17 14:39:37.401210679	2016-02-17 14:39:37.401858502	2016-02-17 14:39:37.403358613	647823	2147934
472	2016-02-17 14:39:39.401881046	2016-02-17 14:39:39.402524742	2016-02-17 14:39:39.404342053	643696	2461007
473	2016-02-17 14:39:41.402550047	2016-02-17 14:39:41.403295682	2016-02-17 14:39:41.404798782	745635	2248735
474	2016-02-17 14:39:43.403240872	2016-02-17 14:39:43.403956568	2016-02-17 14:39:43.405189648	715696	1948776
475	2016-02-17 14:39:45.403914377	2016-02-17 14:39:45.404592526	2016-02-17 14:39:45.406359457	678149	2445080
476	2016-02-17 14:39:47.404596424	2016-02-17 14:39:47.405328545	2016-02-17 14:39:47.406636441	732121	2040017
477	2016-02-17 14:39:49.405417819	2016-02-17 14:39:49.406189208	2016-02-17 14:39:49.407712436	771389	2294617
478	2016-02-17 14:39:51.406112899	2016-02-17 14:39:51.406866258	2016-02-17 14:39:51.408546543	753359	2433644
479	2016-02-17 14:39:53.406750146	2016-02-17 14:39:53.407517341	2016-02-17 14:39:53.409391831	767195	2641685
480	2016-02-17 14:39:55.407414926	2016-02-17 14:39:55.408254495	2016-02-17 14:39:55.409895639	839569	2480713
481	2016-02-17 14:39:57.408085270	2016-02-17 14:39:57.408858469	2016-02-17 14:39:57.410539723	773199	2454453
482	2016-02-17 14:39:59.408748175	2016-02-17 14:39:59.409483323	2016-02-17 14:39:59.411157520	735148	2409345
483	2016-02-17 14:40:01.409410783	2016-02-17 14:40:01.410163402	2016-02-17 14:40:01.411466593	752619	2055810
484	2016-02-17 14:40:03.410114177	2016-02-17 14:40:03.410855443	2016-02-17 14:40:03.412525034	741266	2410857
