IC1603 46800.300000 46905.631791 46905.631773
IC1606 46800.300000 46905.631797 46905.631787
IC1512 46800.300000 46905.631807 46905.631788
IC1511 46800.300000 46905.631987 46905.631986
IF1512 46800.300000 46905.632014 46905.632014
IF1606 46800.300000 46905.632070 46905.632068
IF1511 46800.300000 46905.632090 46905.632088
IH1603 46800.300000 46905.632225 46905.632223
IH1606 46800.300000 46905.632226 46905.632223
IH1512 46800.300000 46905.632228 46905.632224
IH1511 46800.300000 46905.632229 46905.632224
T1512 46800.300000 46905.632230 46905.632225
TF1603 46800.300000 46905.632261 46905.632262
TF1512 46800.300000 46905.632289 46905.632287
IC1606 46800.800000 46906.142819 46906.142822
IC1512 46800.800000 46906.142825 46906.142828
IC1511 46800.800000 46906.142872 46906.142868
IF1512 46800.800000 46906.142902 46906.142900
IF1603 46800.800000 46906.142926 46906.142927
IF1606 46800.800000 46906.142956 46906.142956
IF1511 46800.800000 46906.142981 46906.142980
IH1606 46800.800000 46906.142998 46906.143000
IH1512 46800.800000 46906.143034 46906.143032
IH1511 46800.800000 46906.143056 46906.143055
T1603 46800.800000 46906.143084 46906.143083
T1512 46800.800000 46906.143113 46906.143109
TF1603 46800.800000 46906.143136 46906.143134
TF1512 46800.800000 46906.143164 46906.143164
TF1606 46800.800000 46906.143192 46906.143189
IC1603 46801.300000 46906.564218 46906.564220
IC1606 46801.300000 46906.564227 46906.564229
IC1512 46801.300000 46906.564245 46906.564242
IC1511 46801.300000 46906.564280 46906.564278
IF1512 46801.300000 46906.564310 46906.564314
IF1603 46801.300000 46906.564336 46906.564333
IF1606 46801.300000 46906.564385 46906.564384
IF1511 46801.300000 46906.564419 46906.564421
IH1606 46801.300000 46906.564445 46906.564442
IH1512 46801.300000 46906.564453 46906.564452
IH1511 46801.300000 46906.564504 46906.564506
T1603 46801.300000 46906.564536 46906.564533
T1512 46801.300000 46906.564553 46906.564552
T1606 46801.300000 46906.564595 46906.564594
TF1512 46801.300000 46906.564623 46906.564618
IC1606 46801.800000 46907.101283 46907.101287
IC1512 46801.800000 46907.101288 46907.101294
IC1511 46801.800000 46907.101303 46907.101303
IF1512 46801.800000 46907.101328 46907.101328
IF1511 46801.800000 46907.101358 46907.101358
IH1606 46801.800000 46907.101383 46907.101380
IH1512 46801.800000 46907.101408 46907.101410
IH1511 46801.800000 46907.101441 46907.101435
T1603 46801.800000 46907.101461 46907.101459
T1512 46801.800000 46907.101486 46907.101487
T1606 46801.800000 46907.101515 46907.101513
TF1603 46801.800000 46907.101539 46907.101538
TF1512 46801.800000 46907.101566 46907.101567
IC1603 46802.300000 46907.605279 46907.605282
IC1606 46802.300000 46907.605290 46907.605289
IC1512 46802.300000 46907.605318 46907.605320
IC1511 46802.300000 46907.605346 46907.605345
IF1512 46802.300000 46907.605369 46907.605367
IF1606 46802.300000 46907.605395 46907.605396
IF1511 46802.300000 46907.605414 46907.605412
IH1606 46802.300000 46907.605455 46907.605454
IH1512 46802.300000 46907.605480 46907.605481
IH1511 46802.300000 46907.605508 46907.605505
T1603 46802.300000 46907.605533 46907.605532
T1512 46802.300000 46907.605562 46907.605562
T1606 46802.300000 46907.605588 46907.605587
TF1603 46802.300000 46907.605613 46907.605611
TF1512 46802.300000 46907.605639 46907.605641
TF1606 46802.300000 46907.605668 46907.605665
IC1603 46802.800000 46908.131430 46908.131434
IC1606 46802.800000 46908.131437 46908.131444
IC1512 46802.800000 46908.131466 46908.131463
IC1511 46802.800000 46908.131490 46908.131489
IF1512 46802.800000 46908.131522 46908.131523
IF1603 46802.800000 46908.131549 46908.131547
IF1606 46802.800000 46908.131572 46908.131573
IF1511 46802.800000 46908.131598 46908.131599
IH1603 46802.800000 46908.131629 46908.131626
IH1606 46802.800000 46908.131653 46908.131652
IH1512 46802.800000 46908.131681 46908.131682
IH1511 46802.800000 46908.131707 46908.131706
T1603 46802.800000 46908.131733 46908.131732
T1512 46802.800000 46908.131762 46908.131761
T1606 46802.800000 46908.131791 46908.131790
TF1603 46802.800000 46908.131817 46908.131816
TF1512 46802.800000 46908.131847 46908.131846
TF1606 46802.800000 46908.131870 46908.131868
IC1606 46803.300000 46908.650822 46908.650828
IC1512 46803.300000 46908.650861 46908.650855
IF1603 46803.300000 46908.650882 46908.650880
IF1511 46803.300000 46908.650908 46908.650910
IH1603 46803.300000 46908.650936 46908.650936
IH1606 46803.300000 46908.650962 46908.650961
IH1512 46803.300000 46908.650991 46908.650989
IH1511 46803.300000 46908.651016 46908.651015
T1603 46803.300000 46908.651042 46908.651040
T1512 46803.300000 46908.651067 46908.651072
T1606 46803.300000 46908.651096 46908.651094
TF1603 46803.300000 46908.651119 46908.651118
TF1512 46803.300000 46908.651146 46908.651147
TF1606 46803.300000 46908.651173 46908.651171
IC1606 46803.800000 46909.061324 46909.061327
IC1512 46803.800000 46909.061330 46909.061337
IC1511 46803.800000 46909.061359 46909.061356
IF1606 46803.800000 46909.061382 46909.061380
IF1511 46803.800000 46909.061411 46909.061411
IH1603 46803.800000 46909.061434 46909.061433
IH1606 46803.800000 46909.061466 46909.061464
IH1512 46803.800000 46909.061491 46909.061493
T1603 46803.800000 46909.061521 46909.061518
T1512 46803.800000 46909.061544 46909.061543
T1606 46803.800000 46909.061571 46909.061573
TF1603 46803.800000 46909.061610 46909.061607
TF1512 46803.800000 46909.061637 46909.061637
TF1606 46803.800000 46909.061663 46909.061664
IC1606 46804.300000 46909.561349 46909.561350
IC1512 46804.300000 46909.561354 46909.561353
IC1511 46804.300000 46909.561385 46909.561384
IF1512 46804.300000 46909.561407 46909.561406
IH1606 46804.300000 46909.561433 46909.561432
IH1512 46804.300000 46909.561461 46909.561460
T1603 46804.300000 46909.561486 46909.561489
T1512 46804.300000 46909.561511 46909.561510
T1606 46804.300000 46909.561540 46909.561541
TF1603 46804.300000 46909.561564 46909.561563
TF1512 46804.300000 46909.561592 46909.561592
TF1606 46804.300000 46909.561620 46909.561618
IC1606 46804.800000 46910.089990 46910.089993
IC1512 46804.800000 46910.089996 46910.090001
IC1511 46804.800000 46910.090028 46910.090023
IF1512 46804.800000 46910.090054 46910.090053
IF1511 46804.800000 46910.090102 46910.090104
