76,77		00 00 4a 51 1a d8 ce 8e c3				00 00 4a 51 1a d8 d8 9e c3		2576
139,140 	00 00 4a 69 1b 0d e9 e8 c3				00 00 4a 69 1b 0d f3 f8 c3		2576
248,247		00 00 4a 91 1b 65 df c3 c3				00 00 4a 91 1b 65 e9 d3 c3		2576
311,310 	00 00 4a a9 1b 99 eb ed c3				00 00 4a a9 1b 99 f5 f5 c3		2568
443,444		00 00 4a db 1c 07 36 58 c3				00 00 4a db 1c 07 40 68 c3		2576
